sampleID,dateTime,sourceCode,latitude,longitude,altitude,speed,heading,linkPVID,direction,distFromRef,distFromLink
3496,6/12/2009 6:12:49 AM,13,51.496868217364,9.38602223061025,200,23,339,62007637,B,0.035124971626433035,0.035124971626433035
3496,6/12/2009 6:12:54 AM,13,51.4966822229326,9.38615726307034,200,10,129,62007637,B,0.01242921412617686,0.01242921412617686
3496,6/12/2009 6:12:59 AM,13,51.4967048540711,9.38642229884863,201,21,60,62007637,B,0.01923889755080375,0.01923889755080375
3496,6/12/2009 6:13:04 AM,13,51.4967492781579,9.38683996908367,201,0,360,567329767,B,0.011159870364736965,0.011159870364736965
3496,6/12/2009 6:13:09 AM,13,51.4968639425933,9.38729401677847,199,0,360,567329767,B,0.00733238428736801,0.00733238428736801
3496,6/12/2009 6:13:15 AM,13,51.4969302434474,9.38771596178412,198,5,89,567329767,B,0.02411463181706328,0.02411463181706328
3496,6/12/2009 6:13:20 AM,13,51.4969574846327,9.38779382966459,198,1,288,567329767,B,0.018007335345759407,0.018007335345759407
3496,6/12/2009 6:13:25 AM,13,51.4969521202147,9.3878052290529,197,0,310,567329767,B,0.017473547831528328,0.017473547831528328
3496,6/12/2009 6:13:30 AM,13,51.4969490189105,9.38781813718379,196,0,274,567329767,B,0.016782400676368235,0.016782400676368235
3496,6/12/2009 6:13:35 AM,13,51.4969443250448,9.38784018158913,196,0,226,567329767,B,0.015635687489970122,0.015635687489970122
3496,6/12/2009 6:13:40 AM,13,51.4969411399215,9.3878517486155,197,0,201,567329767,B,0.015108711954664166,0.015108711954664166
3496,6/12/2009 6:13:46 AM,13,51.4969385415316,9.3878554366529,197,0,182,567329767,B,0.015039808650749081,0.015039808650749081
3496,6/12/2009 6:13:51 AM,13,51.4969374518842,9.38785669393837,197,0,232,567329767,B,0.01503066149225279,0.01503066149225279
3496,6/12/2009 6:13:57 AM,13,51.4969362784177,9.38785945996642,197,0,202,567329767,B,0.014940644646328445,0.014940644646328445
3496,6/12/2009 6:14:03 AM,13,51.4969357755035,9.38786029815674,197,0,199,567329767,B,0.01492302383693977,0.01492302383693977
3496,6/12/2009 6:14:08 AM,13,51.496934518218,9.38786323182285,197,0,179,567329767,B,0.014832912546282197,0.014832912546282197
3496,6/12/2009 6:14:13 AM,13,51.4969339314848,9.38786532729864,197,0,184,567329767,B,0.014750852610881106,0.014750852610881106
3496,6/12/2009 6:14:19 AM,13,51.4969324227422,9.38786742277443,197,0,199,567329767,B,0.014729862983352314,0.014729862983352314
3496,6/12/2009 6:14:25 AM,13,51.496931836009,9.38786884769797,197,0,178,567329767,B,0.014688531053289459,0.014688531053289459
3496,6/12/2009 6:14:31 AM,13,51.4969309978187,9.38786951825023,197,0,183,567329767,B,0.014706617931674933,0.014706617931674933
3496,6/12/2009 6:14:35 AM,13,51.4969305787236,9.38787002116442,197,0,194,567329767,B,0.014706648142251462,0.014706648142251462
3496,6/12/2009 6:14:41 AM,13,51.4969303272665,9.3878710269928,197,0,176,567329767,B,0.014667901721233183,0.014667901721233183
3496,6/12/2009 6:14:47 AM,13,51.4969306625426,9.38787245191634,197,0,172,567329767,B,0.014566799163902534,0.014566799163902534
3496,6/12/2009 6:14:52 AM,13,51.4969308301806,9.38787337392569,197,0,177,567329767,B,0.014504739682016219,0.014504739682016219
3496,6/12/2009 6:14:56 AM,13,51.4969311654568,9.38787396065891,197,0,195,567329767,B,0.014449833278956919,0.014449833278956919
3496,6/12/2009 6:15:02 AM,13,51.496931668371,9.38787479884923,197,0,185,567329767,B,0.014369784307675215,0.014369784307675215
3496,6/12/2009 6:15:07 AM,13,51.496931836009,9.38787521794438,197,0,214,567329767,B,0.014335410962620868,0.014335410962620868
3496,6/12/2009 6:15:12 AM,13,51.4969319198281,9.38787555322051,197,0,190,567329767,B,0.014311304519553631,0.014311304519553631
3496,6/12/2009 6:15:18 AM,13,51.4969321712852,9.3878760561347,197,0,179,567329767,B,0.014266665863156475,0.014266665863156475
3496,6/12/2009 6:15:23 AM,13,51.4969322551042,9.38787639141083,197,0,183,567329767,B,0.014242562023624382,0.014242562023624382
3496,6/12/2009 6:15:27 AM,13,51.4969322551042,9.38787689432502,197,0,207,567329767,B,0.014214910024644548,0.014214910024644548
3496,6/12/2009 6:15:33 AM,13,51.4969324227422,9.38787722960114,197,0,191,567329767,B,0.014185149580290164,0.014185149580290164
3496,6/12/2009 6:15:38 AM,13,51.4969323389232,9.38787781633437,197,0,176,567329767,B,0.014158610258001336,0.014158610258001336
3496,6/12/2009 6:15:43 AM,13,51.4969324227422,9.38787823542953,197,0,176,567329767,B,0.014129938461184266,0.014129938461184266
3496,6/12/2009 6:15:48 AM,13,51.4969323389232,9.38787857070565,197,0,184,567329767,B,0.014117262368301372,0.014117262368301372
3496,6/12/2009 6:15:53 AM,13,51.4969323389232,9.38787907361984,197,0,185,567329767,B,0.014089737225217324,0.014089737225217324
3496,6/12/2009 6:15:58 AM,13,51.4969325903803,9.38787957653403,197,0,165,567329767,B,0.014045091221107196,0.014045091221107196
3496,6/12/2009 6:16:03 AM,13,51.4969328418374,9.38787982799113,197,0,190,567329767,B,0.014014204978223924,0.014014204978223924
3496,6/12/2009 6:16:08 AM,13,51.4969329256564,9.38788024708629,197,0,194,567329767,B,0.013985563280781564,0.013985563280781564
3496,6/12/2009 6:16:13 AM,13,51.4969329256564,9.38788058236241,198,0,199,567329767,B,0.013967229383087676,0.013967229383087676
3496,6/12/2009 6:16:18 AM,13,51.4969329256564,9.38788075000048,198,0,192,567329767,B,0.013958067875369955,0.013958067875369955
3496,6/12/2009 6:16:23 AM,13,51.4969329256564,9.38788091763854,198,0,230,567329767,B,0.013948910005617522,0.013948910005617522
3496,6/12/2009 6:16:28 AM,13,51.4969306625426,9.38787815161049,197,0,235,567329767,B,0.014254827569047897,0.014254827569047897
3496,6/12/2009 6:16:33 AM,13,51.4969599992037,9.38792869448662,196,7,43,567329767,B,0.009496007359389316,0.009496007359389316
3496,6/12/2009 6:16:38 AM,13,51.4971158187836,9.38802047632635,197,18,359,567329767,B,0.0118430890213445,0.0118430890213445
